instruction,context,response,category
Which spices should every cook have on hand?,,"Salt and Pepper are essential spices. Cumin, Chilli, Turmeric, Garlic and Cinnamon are also popular.",brainstorming
Tell me who the first three countries to give women the vote were. Give it to me in a bulleted list.,,"The first three countries to grant the right of women to an equal vote were:
- New Zealand (1893)
- Australia (1902)
- Finland (1906)",brainstorming
Give me 4 words to describe designer shoes,,"creative, exquisite, expensive, fashionable",brainstorming
Give me 3 totally distinct ways to eat a banana,,Peel and take bites of the whole banana; cut up the banana into slices; mash the banana and mix it with milk in a blender,brainstorming
Give me a list of things that could be found on a desk,,"Plants, Phone, Computer, Speakers, Cup holders, headphones, mouse, keyboard",brainstorming
Best Airline in the world,,"1. Quatar airway
2. Singapore Airlines
3. Emirates",brainstorming
How to start a side hustle,,"Participate in paid online surveys
Get paid to test apps and websites
Transcribe videos, phone calls, and other recordings
Become a rideshare driver
Deliver groceries
Rent out your home to vacationers
Deliver food
Become an affiliate marketer
Tutor online
Walk dogs and pet-sit
Start a blog on Substack
Deliver packages
Sell your photography
Start a podcast
Design and sell your own t-shirts
Wash cars
Start a social media page and build income through sponsorships
Give tours of your neighborhood
Create and sell your own handmade goods
Mow lawns and do other landscaping tasks
Start a dropshipping business
Create a clothing line
Start a YouTube channel
Sell digital products",brainstorming
Who are some of the most influential innovators of all time?,,"Thomas Edison.
Steve Jobs
Nikola Tesla
Bill Gates
Benjamin Franklin
Leonardo Da Vinci
Alexander Graham Bell
Sandford Fleming",brainstorming
Give me a bulleted list of the Real Housewives series in chronological order.,,"The Real Housewives of Orange County
The Real Housewives of New York City
The Real Housewives of Atlanta
The Real Housewives of New Jersey
The Real Housewives of D.C
The Real Housewives of Beverly Hills
The Real Housewives of Miami
The Real Housewives of Potomac
The Real Housewives of Dallas
The Real Housewives of Salt Lake City
The Real Housewives of Dubai",brainstorming
What are the 7 Wonders of the Solar System:,,"These are 7 wonders that can be found in the Solar System:

- Enceladus, a moon of Saturn
- The Great Red Spot of Jupiter, a massive and persistent anticyclonic storm in the planet's southern hemisphere
- The asteroid belt, a region of innumerable small solid bodies located between the orbits of Mars and Jupiter
- The surface of the Sun
- The oceans of Earth
- The Rings of Saturn
- Olympus Mons, an enormous shield volcano on Mars and the tallest planetary mountain in the Solar System",brainstorming
Give me three spicy authentic Chinese food dishes,,"There are many spicy Chinese food out there, among those the following are the local favorite dishes.
1. Chongqing Spicy Chicken
2. Kung Pao Chicken
3. Fish-Flavored Shredded Pork",brainstorming
"My dog is a 100lb pitbull purebreed. She's always barking at people when we walk her on the street. She's friendly, however, when outside with me or the kids, her bark is loud and deep. How can I get my dog to stop barking at strangers and remove her feeling of ""threat""?",,"Ensure that when you walk her to use a prong collar. Ensure the collar is not loose on her neck, but high up and tight (cannot move easily) under her ear. This will make sure she doesn't take sudden movements and allow her to ensure that you will direct her whether the oncoming distraction is a threat.",creative_writing
What is the best lure color when fishing for blue Marlin on the Big Island,,The best lure color as of 2022 was yellow and black skirt with black head,creative_writing
Describe the sensation of taking a cold shower and explain the rationale for why someone might take one.,,"When you take a shower with very cold water, you throw your body into a temporary state of shock. You feel your skin raise. Your toes may curl a bit. Your eyes may widen. If it is early morning and you're still waking up, you may find that you suddenly feel very alert. 

By leaving a room with a warm and comfortable temperature and entering a space with water produced at a chilly and uncomfortable temperature you actually trick your body. The sudden shift produces alertness that can be beneficial for people who are trying to wake up without caffeine and other stimulants or are otherwise trying to train their bodies to tolerate harsh conditions.",creative_writing
"We are getting a new puppy today, I am writing this messages to you our beloved children that we need to keep the Cats away from the new puppy for at least the first 2 weeks.",,The reason is that the Cat will feel intimated and attack the new puppy if we don't separate them and let them get used to each other for a period of time.,creative_writing
Write a letter to my mum and dad detailing the reasons why they should buy me a pet tortoise,,"Dear Mum and Dad,

As you know, I have wanted a pet tortoise for some time now. I have given it a lot of thought and done a great deal of research into what might be involved. I am aware that having a pet is a huge commitment so I am writing to you to explain why I think you should buy me a pet tortoise and why a tortoise is a fantastic choice of pet.

Looking after a pet tortoise will give me a strong sense of responsibility. I know that I will have to ensure my tortoise is well fed, kept at the right temperature, given opportunities to bask under a heated lamp or in the sunshine if warm enough. I am very willing to give the time and commitment necessary to look after my tortoise. The tortoise will be my sole responsibility and I feel mature enough to commit to its care and happiness.

As you know, I suffer from anxiety and school makes me particularly worried sometimes. It has been shown through numerous studies that pets reduce anxiety and stress in humans. I feel sure that having a tortoise will be a fantastic distraction from my worries and bring me great enjoyment. Contrary to popular belief, tortoises love having their shells stroked and their chins tickled and I think it would be very relaxing for me to pet a tortoise when I get home from school.

Tortoises are very self-sufficient. Provided they are given a warm place to bask, access to fresh water and plenty of fresh food such as dandelions, kale, lettuce and other leafy vegetables, they are very happy to be left to their own devices. As we live in the UK where temperatures can be cool, we would need to purchase a tortoise table with good substrate, a basking lamp and some hides where the tortoise can tuck itself away. We have lots of space for this in our kitchen. When it is warm, the tortoise can go into our garden in an enclosure. A tortoise table and lamp will cost about £200 but this is just an initial outlay. Thereafter, keeping a tortoise is very cheap. In fact, you can pick most of their food for free by foraging which I am happy to do when we go for families walk.

Contrary to popular belief, tortoises can be very friendly. As I have mentioned above, they love being stroked but did you also know that they can recognise their owners and some can even respond to their names? In fact, a study showed that tortoises can recognise their previous owners that they haven? t seen in years so they are both friendly and very intelligent.
You might be worried about hibernating a tortoise but I have done lots of research on this and now know exactly what to do. If we buy a tortoise, it will need to hibernate for a maximum of three months from the end of September. We will need to hibernate our tortoise in a well-insulated box. The temperature mustn? t go above or below 5 degrees celsius and our garage would be the perfect place for it. We have a temperature gauge in there so I can keep an eye on the heat levels. 

Finally, I have looked into the cost of buying a tortoise. I would suggest we buy a tortoise which is a couple of years??old as they require less care. We can buy a preloved tortoise which has been microchipped for about £100. And when we go on holiday, I have found a Tortoise Hotel which is run by a vet and costs just £60 for a 10 day stay.

I think you will agree that I have conducted very thorough research into looking after a tortoise and I hope you will agree that I am now mature enough to look after a pet. I truly believe that a pet tortoise will give me a strong sense of responsibility and will have a positive calming effect on my mood. Indeed, I think the whole family will enjoy having a tortoise. They are friendly, loving, interesting and intelligent animals and we will all benefit from having one.

I would be grateful if you would give my request full consideration.

Lots of Love,

Wilf x",creative_writing
"If  you found yourself  washed  up on  a  deserted tropical island with no hope for immediate rescue, what  would  you do?",,"The immediate first step is to ensure you are not materially injured.  Assuming your only manifestation of harm is a psychological roller coaster of fear, anger and hopelessness,  your best course of action is to attend to your basic needs first.  

Locate a protected space away from the wind but not too deep into the surrounding jungle, built a fire pit and gather enough combustable materials to carry  you  through  the first few evenings.  Find fresh  water and someway to hold it (open coconut shells / fashioned palm leave bowls etc) - DO NOT DRINK IT until you boil it first over your new  fire so you mitigate the risk of getting sick.  Before your first nightfall with secure fire and water taken care of, build yourself a  make shift shelter so you  are protected from the elements and yet  to be discovered critters.  

Day two, focus your  energies  gathering food  (coconuts / seaweed / clams etc) so you keep your energy high.  Once your very basic needs are met (shelter / water / food to survive), its  time to fashion a fishing pole and a sharp spear out of bamboo so you can fish  and hunt for birds to expand your  food sources.  

Day  three, focus  your energy on building yourself a more permanent shelter.   Explore the island for  wood and rock sources; along with large palm leave you  can fashion rope from.  While exploring your  new home, look for caves and / or places  where you could construct a tree fort so you can improve your protected living space.

Week 2, once your new living  quarters are secured and you have sustainable methods to care for your basic needs, climb to the highest point of the island and look for nearby islands / land and any indication of human habitation.  While searching for these indicators, assess methods of island escape to get through any surf  and start tracking wind and weather patterns daily so you can get a feel for the seasonal rotations.

Week 3 +, dedicate 3-4 hours a day to building signal fires and SOS stone messages that overheard planes may be able to detect.  It is also important  to manage your mental health and track daily changes so you keep your sanity in check  as you adjust  to the new reality.

Create a way to chronicle your experiences.  One day you  will escape your island and can sell your story to Hollywood.  Of course, if you  never do escape, you will  at  least  have the comfort of leaving something behind for eventual discovery of proof you did survive the incident that landed you on this island.",creative_writing
Write a friendly email to my teacher asking her to postpone our quiz schedule for tomorrow to next week because our basketball team is in the championship game tonight and all students will be out late celebrating our schools victory with pride!,,"Dear Mrs. Johnson, 

I'm writing to request that you move tomorrows chemistry quiz to next week's class. As you know, our school basketball team is in the conference championship tonight. Most of the student body will either be in attendance or watching on TV (until late into the night.) We expect to win and to be celebrating our wonderful schools accomplishments. Given that this is such a great opportunity for our school to celebrate together, I think more students would attend and also do better on the quiz if it was postponed.  

Respectfully,
Your best student Joe",creative_writing
"Write a manifesto for the ""Be IRL"" movement. The movement advocates being present to your surroundings and fellow humans, vs being immersed in the virtual world created by our smartphones.",,"New ""technology"" comes with incredible benefits, but also incredible long term harms. Think of plentiful calories (no fear of starvation) vs the obesity epidemic. Now think, constant dopamine vs incredible lack of connection to our environment, no new friends and a loneliness epidemic.

We see it all around us like some dystopian movie. Everyone is looking down at their phones, their eyes and ears oblivious to everything around them. Colleges, the very places that should be bursting with energy, laughter, and serendipitous lifelong friendships, have become places full of people with few friends, constantly scrolling in search of the ever decreasing dopamine hit from a like or just something ""new"".",creative_writing
"Imagine that one day, a universally acknowledged property of time is bended. What is that property? Write about the new world under that setting.",,"Rather than being linear, time is a loop in this new world. People moving forward to the direction of ""future"" are only making ways to their past. This is a good news for those with a joyful past, but not so much for those with a rather dark history. People who seek to avoid their history are now ruminating over the causes of their misery, while those who seek to relive their past are doing the same thing, only to amplify those factors behind their happiness. Yet, the happiness of some is built on top of the exploitation and manipulation of others, and it is under this setting that a war over the past commences.",creative_writing
Describe a trip through the United States for a 14 day vacation in a rental car,,"The about 14 days trip through the United States starts at Las Vegas. You can easily get a direct flight from Europe to Las Vegas in the States. That makes an easy start for your trip. As you start in Las Vegas take some time to adjust and adapt to the scenery. There are a lot of things to do and see in Las Vegas itself. For example, take a walk along the strip to see all the hotels and casinos, even get inside of one - the Caesars Palace or the Venetian are very interesting. Also there are a lot of show offerings such as Cirque du Soleil or parties in the evening, if you want to have good seats it's best to book your tickets in advance before you start your trip. As you strolled through the city of Las Vegas for two days, on the third day it's time to pick up your rental car. With your rental car begins your road trip through the wide streets of the United states. The first goal for your trip will be Zion Nationalpark in Utah, about a 3 hours drive from Las Vegas. In this national park you have the chance to hike and wander around beautiful nature. One of the most impressive hikes is called Angels Landing. At the highest point of this hike you have a beautiful overview of the whole national park. But be aware that it is necessary to book your ticket for this trail way in advance or if you want to do it on short notice you have to have luck in the lottery. Otherwise you are not allowed to hike this trail. That restriction is necessary because too many people hiked the trail and it became dangerous, so numbers of hikers had to be limited a day. If you spend two day exploring the landscape of Zion Nationalpark it's time to move on to the next location, which is Bryce Canyon National Park also in Utah. It takes around two to 3 hours to drive there from Zion. The area right before the Nationalpark is small with some restaurants, hotels, motels or campgrounds. The Canyon itself is huge and will give you a lot of opportunity to explore. In the wintertime it can be very cold and snowy, therefore bring warm clothes. In the two days you spend there you can visit beautiful overviews on the edge of the canyon and also hike down and explore the deeper canyon. One of the highlights is the amphitheater or Thors' hammer. It is also recommended to watch the sun rise over Bryce Canyon because it's more spectacular from the colors than the sunset in the evening. From Bryce Canyon Nationalpark the road trip continues to the city of Page in Arizona from where you can visit the Antelope Canyon. Take at least one full day there to discover either the upper or the lower Antelope Canyon. But be aware, you have to book tickets in advance! If you don't get a ticket for them there is also Antelope Canyon X, which is a real alternative to visit and maybe even less crowded then the other ones. From this point of the tour you then drive to Grand Canyon National Park, which will take about 3 hours at least. This is probably the highlight of the National Parks in this area of the United States. Recommended is to stay at least for two days, even better if you have more time. You should take one trail down the canyon if you are in the physical state to do this. One most common way down is the south Kalib trail which has a beautiful viewpoint called Ooh Aah Point. If you want to watch the sunset in the evening the desert view watchpoint is a great way to do so. Also take some time to stroll around at Grand Canyon Village, there are some nice souvenir shops and more. From Grand Canyon National Park the road trip then moves on to the last target location, which is Los Angeles in California. It's a longer drive there and takes around 8 hours to drive there. But once you arrive there you will have some nice, relaxing days before your flight back home to Frankfurt. You can spend one day visiting Santa Monica, the beach and the Pier there. It's nice to rent a bicycle out there and ride along the beach side through Venice Beach up to Hermosa beach or even further if you like. Another activity could be to visit Dolby Theatre and the Walk of Fame in Hollywood, there are a lot of shops out there or you can just stroll along. But one thing to be aware of when visiting Los Angeles with a car is that there is always traffic and you can be stuck in traffic many times. As Los Angeles is the last stop on the proposed US-trip on your last day it is time to bring back your rental car right before you fly back, just bring it to the rental car stores at the LAX airport. From this airport you will board your flight back to Europe or somewhere else.",creative_writing
Write a bullet-pointed list of updates from a college club fundraising team lead about their fundraising work from last week.,,"* Planned fundraising efforts for the next week, as well as implemented donut sales on campus to increase fundraising streams.
* Sent out Google Form to gauged interest of the club on buying club-branded shirts and stickers. By mid-week, we will make final decisions on apparel and begin sending out order forms.
* Continued with burger and chicken wings food sales on the central campus plaza.",creative_writing
Describe a plan for driving from Florida to New York with some great places to stop with American History.,,"The drive from Florida to New York is close to 1,200 miles and will take a minimum of 17 hours in a car via interstate 95.  There are many great stops along the way to learn more about American History.  The states you will drive through starting from Florida are Georgia, South Carolina, North Carolina, Virgina, Maryland, Delaware and New Jersey before getting to New York.  A few destinations to stop along the journey are Savannah Georgia which is known as America's first planned city, Charleston South Carolina Fort Sumter where the Civil War Started, Richmond where The Richmond Union Passenger Railway was the first electric streetcar in the U.S, Washington D.C. to visit our nation's capital, Baltimore Maryland where Fort McHenry is located and the Star-Spangled Banner was written and Philadelphia where the Liberty Bell is located.",creative_writing
write a scene between two actors discussing movie Inception,,"Actress 1: ""Oh my god, have you seen Inception?""

Actor 2: ""Yes! That movie blew my mind. What did you think of it?""

Actress 1: ""Honestly, I was so confused for most of it. But it was so interesting, I couldn't look away. I had to know what was going on.""

Actor 2: ""That's exactly how I felt. It's one of those movies that you have to pay attention to every detail, or you'll get lost.""

Actress 1: ""Absolutely. And the way they played with time and reality was so cool. I don't think I've ever seen a movie like that before.""

Actor 2: ""Yeah, the concept of entering someone's dreams to implant an idea was mind-boggling. And the way they executed it was so well done.""

Actress 1: ""It was. And the cast was amazing too. Leonardo DiCaprio was incredible as usual, and I loved seeing Ellen Page in a different type of role.""

Actor 2: ""Definitely. And the action scenes were so intense. The zero-gravity hallway fight was insane.""

Actress 1: ""Oh my god, yes. I was on the edge of my seat for that one. And the ending...I still can't decide what it means.""

Actor 2: ""I know, right? It's one of those movies that leaves you with so many questions. But that's part of what makes it so great.""

Actress 1: ""Exactly. I love when movies challenge me to think and leave me wanting more. Inception definitely did that.""

Actor 2: ""Agreed. It's definitely one of my all-time favorites. I could watch it a hundred times and still discover something new.""

Actress 1: ""Same here. It's just one of those movies that sticks with you long after it's over.""",creative_writing
Describe a scary moment in a storm.,,"I live in Oklahoma, so we see our fair share of storms. Storm sirens are so common that I don't take cover every time they go off. Instead, it's normal for me to watch the radar when a storm system is moving through to see where the tornados are and how close they are to me. 

Once, the radar showed a tornado southwest of our house - moving towards us. When it was within a couple miles of us, my wife took the dogs and blankets and went to our safe place - an internal bathroom. I stood back from the windows and watched the tv. From my position, I could see out the back windows which faced west - southwest. The weather showed that the tornado was right on top of us. I watched out the window as a fragment of a four by four, about a foot and a half long, flipped up from the ground and tumbled across the lawn. 

It was that moment that I decided I had watched enough and stepped into the bathroom to join my wife and the dogs. The storm blew over us. The tornado wasn't on the ground as it passed by, but it was definitely and intense several minutes as we waited. 

I have seen my fair share of storms and had a number of close calls with tornados. This definitely falls in one of my top 5.",creative_writing
Write a concise and somewhat funny email about making a betting pool for the 2023 Masters golf tournament,,"From: Me
To: Friend
Subject: 2023 Masters Betting Pool

Hi Closest Friends,

April has arrived, the Easter Bunny is coming and although the azaleas have all died from blooming too early and then freezing, the Masters will go on! 

It should be an eventful year with Tiger (aka the GOAT) making his return, Koepka coming off a huge win on the LIV tour, the incredible golf program that is University of Florida (aka Billy Horschel) looking for their first Masters champion, and many more. We plan on having the 101st annual Master's draft on Tuesday around 10PM EST.  

See you there. Cheers!

- Me",creative_writing
"For every 12 cans you recycle, you receive $0.50, and for every 5 kilograms of newspapers, you receive $1.50. If your family collected 144 cans and 20 kilograms of newspapers, how much money would you receive?",,"There are 144/12 = <<144/12=12>>12 sets of 12 cans that the family collected.
So, the family would receive $0.50 x 12 = $<<0.50*12=6>>6 for the cans.
There are 20/5 = <<20/5=4>>4 sets of 5 kilograms of newspapers that the family collected.
So, the family would receive $1.50 x 4 = $<<1.50*4=6>>6 for the newspapers.
Therefore, the family would receive a total of $6 + $6 = $<<6+6=12>>12.
#### 12",math_gsm8k
Betty picked 16 strawberries. Matthew picked 20 more strawberries than Betty and twice as many as Natalie. They used their strawberries to make jam. One jar of jam used 7 strawberries and they sold each jar at $4. How much money were they able to make from the strawberries they picked?,,"Matthew picked 16 + 20 = <<16+20=36>>36 strawberries.
Natalie picked 36/2 = <<36/2=18>>18 strawberries.
All together, they have 16 + 36 + 18 = <<16+36+18=70>>70 strawberries.
They can make 70/7 = <<70/7=10>>10 jars of strawberries.
They earn 10 x $4 = $<<10*4=40>>40 from the strawberries they picked.
#### 40",math_gsm8k
"Jack has a stack of books that is 12 inches thick. He knows from experience that 80 pages is one inch thick. If he has 6 books, how many pages is each one on average?",,"There are 960 pages because 80 x 12 = <<80*12=960>>960
Each book is 160 pages because 960 / 6 = <<960/6=160>>160
#### 160",math_gsm8k
"James dumps his whole collection of 500 Legos on the floor and starts building a castle out of them.  He uses half the pieces before finishing and is told to put the rest away.  He puts all of the leftover pieces back in the box they came from, except for 5 missing pieces that he can't find.  How many Legos are in the box at the end?",,"James starts with 500 Legos and uses half of them, leaving 500/2=<<500/2=250>>250 Legos unused.
He puts those unused Legos away but since he's missing 5 he only puts 250-5=<<250-5=245>>245 Legos away.
#### 245",math_gsm8k
"Ines had $20 in her purse. She bought 3 pounds of peaches, which are $2 per pound at the local farmers??market. How much did she have left?",,"Ines bought 3 pounds of peaches for 3 peaches * $2/peach = $<<3*2=6>>6.
Ines has $20 - $6 = $<<20-6=14>>14 left.
#### 14",math_gsm8k
"Aaron pays his actuary membership fees each year. The membership fee increases yearly by $10. If he pays $80 in the first year, how much does his membership cost, in dollars, in the sixth year?",,"In year 2 he pays 80+10=$<<80+10=90>>90.
In year 3 he pays 90+10=$<<90+10=100>>100.
In year 4 he pays 100+10=$<<100+10=110>>110.
In year 5 he pays 110+10=$<<110+10=120>>120.
In year 6 he pays 120+10=$<<120+10=130>>130.
#### 130",math_gsm8k
"Joseph invested $1000 into a hedge fund. The fund promised a yearly interest rate of 10%. If he deposited an additional $100 every month into the account to add to his initial investment of $1000, how much money will he have in the fund after two years?",,"For the first year, Joseph will have invested $1000 + ($100 * 12) = $<<1000+100*12=2200>>2200.
The interest calculated for the first year will be $2200 * 10% = $<<2200*10*.01=220>>220.
The total value of the investment for the first year will be $2200 + $220 = $<<2200+220=2420>>2420.
For the second year, the total invested will be $2420 + ($100 * 12) = $<<2420+100*12=3620>>3620.
The interest calculated after the second year will be $3620 * 10% = $<<3620*10*.01=362>>362.
Therefore, Joseph's investment in the mutual fund will be worth $3620 + $362 = $<<3620+362=3982>>3982.
#### 3982",math_gsm8k
"The price of buying a wooden toy at the new Craftee And Best store is $20, and the cost of buying a hat is $10. If Kendra went to the shop with a $100 bill and bought two wooden toys and three hats, calculate the change she received.",,"When Kendra bought 2 toys, she paid 2*$20 = $<<2*20=40>>40
Since the price of a hat is $10, when Kendra bought 3 hats, she paid 3*$10 = $<<3*10=30>>30
The total costs for the hats and wooden toys Kendra bought is $40+$30 = $<<40+30=70>>70
From the $100 bill, Kendra received change worth $100-$70 =$<<100-70=30>>30
#### 30",math_gsm8k
"James is trying to create a new breed of kittens with extra-long tails. Each generation of kittens he breeds has a tail 25% longer than the last generation. If the first generation has tails 16 cm long, how long are the third generation's tails?",,"First find how much longer the second generation's tails are: 25% * 16 cm = <<25*.01*16=4>>4 cm
Then add that length to the first generation's tail length to find the second generation's tail length: 4 cm + 16 cm = <<4+16=20>>20 cm
Then find how much longer the third generation's tails are: 25% * 20 cm = <<25*.01*20=5>>5 cm
Then add that length to the second generation's tail length to find the third generation's tail length: 5 cm + 20 cm = <<5+20=25>>25 cm
#### 25",math_gsm8k
"The Rotary Club is holding its annual fundraising Omelet Breakfast, with tickets sold in advance. The tickets come in different price levels, for young children, older children, adults, and seniors. This year they sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. To figure out how many eggs they need to buy, the club estimates that small children can eat a half omelet, older children can eat a whole omelet, adults will eat two omelets, and seniors will eat one and a half omelets. Just to be on the safe side, they get enough eggs to make 25 extra omelets. If they use 2 eggs for each omelet, how many eggs will they need to buy?",,"They'll need to make an estimated 0.5 * 53 = <<0.5*53=26.5>>26.5 omelets for small children.
They'll need to make an estimated 1 * 35 = <<1*35=35>>35 omelets for older children.
They'll need to make an estimated 2 * 75 = <<2*75=150>>150 omelets for the adults.
And they'll need to make an estimated 1.5 * 37 = <<1.5*37=55.5>>55.5 omelets for the seniors.
Along with the 25 extra omelets they'll make as a buffer, they will need enough eggs for 26.5 + 35 + 150 + 55.5 + 25 = <<26.5+35+150+55.5+25=292>>292 omelets.
So they will need 2 * 292 = <<2*292=584>>584 eggs.
#### 584",math_gsm8k
John buys cans of soup for buy 1 get one free.  He gets 30 cans with a normal price of $0.60.  How much does he pay?,,"He pays for 30/2=<<30/2=15>>15 cans
So he spends 15*.6=$<<15*.6=9>>9
#### 9",math_gsm8k
"Michael has 36 pets. 25% of them are dogs, 50% are cats, and the rest are bunnies. How many bunnies does he have?",,"25% of his pets are bunnies because 100% - 50% - 25% = 25%
He has 9 bunnies because 36 x .25 = <<36*.25=9>>9
#### 9",math_gsm8k
"Grant has four times as many vacations as Kelvin has classes. If Kelvin has 90 classes, how many vacations and classes do Grant and Kelvin have altogether?",,"Grant has 4*90 = <<4*90=360>>360 vacations.
In total, they have 360 + 90 = <<360+90=450>>450 vacations and classes.
#### 450",math_gsm8k
"Julie is making caesar salad for a family picnic. At the market, she spends $8 on green lettuce and $6 on red lettuce. If each type of lettuce costs $2 per pound, how many total pounds of lettuce did she buy?",,"The total cost of the green and red lettuce is $8 + $6 = $<<8+6=14>>14.
Julie bought $14 / $2 =<<14/2=7>>7 pounds of lettuce.
#### 7",math_gsm8k
"Jimmy bought 3 pens for school for $1 each, 4 notebooks for $3 each and 2 folders for $5 each. If he paid with a $50 bill, how much change will he get back?",,"Jimmy spent 3 * $1 = $<<3*1=3>>3 on pens.
He spent 4 * $3 = $<<4*3=12>>12 on notebooks.
He spent 2 * $5 = $<<2*5=10>>10 on folders.
He spent $3 + $12 + $10 = $<<3+12+10=25>>25 in total.
His change will be $50 - $25 = $<<50-25=25>>25.
#### 25",math_gsm8k
Fern buys one pair of high heels for $60 and five pairs of ballet slippers for 2/3rds of the price of the high heels. How much does she pay total?,,"First find the cost of one pair of ballet slippers: $60 * 2/3 = $<<60*2/3=40>>40
Then find the total cost of the ballet slippers: $40/pair * 5 pairs = $<<40*5=200>>200
Then add that amount to the cost of the high heels to find the total cost: $200 + $60 = $<<200+60=260>>260
#### 260",math_gsm8k
"The teacher divided the students into four groups. One group had 5 students, another 8 students, and the third 7 students. If there were 24 total students, how many students were in the fourth group?",,"There are 5+8+7=<<5+8+7=20>>20 students in the first three groups.
There are 24-20=<<24-20=4>>4 students in the fourth group.
#### 4",math_gsm8k
"Every hour past noon shadows from a building stretch an extra 5 feet, starting at zero at noon.  How long are the shadows from the building 6 hours past noon in inches?",,"If the shadows lengthen by 5 feet per hour, this means that in 6 hours the shadows would have lengthened from zero to 5*6=<<5*6=30>>30 feet.
Since there are 12 inches in every foot, this means the building's shadow would be 30*12= <<30*12=360>>360 inches in length.
#### 360",math_gsm8k
"A fox can run at the maximum speed of 50 kilometers per hour. Considering the fox would run at a constant speed, what distance would he make during 120 minutes?",,"1 hour is 60 minutes, so 120 minutes is 120 / 60 = <<120/60=2>>2 hours.
During one hour a fox can make 50 kilometers, so during two hours, he would be able to run 50 * 2 = <<50*2=100>>100 kilometers.
#### 100",math_gsm8k
"There were 40 kids on Lake Pleasant. A fourth of the kids went tubing, but only half of the tubers went rafting. How many of the kids who joined the rafting excursion were also on the tubing excursion?",,"40/4 = <<40/4=10>>10 kids went tubing.
10/2 = <<10/2=5>>5 kids went rafting and tubing.
#### 5",math_gsm8k
"At a convention, 16 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?",,"There were 36-16=<<36-16=20>>20 without pre-printed name badges.
Then 20/2=<<20/2=10>>10 made hand-written badges
There were 20-10=<<20-10=10>>10 with no name badge.
#### 10",math_gsm8k
